Latitude (decimal degrees):	59.246
Longitude (decimal degrees):	18.035
Elevation (m):	57
Radiation database:	PVGIS-SARAH3


Slope: 42 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220722:1111,484.06,611.5,50.94,22.47,3.59,0.0
20220722:1211,258.71,329.89,48.66,21.89,3.86,0.0
20220722:1311,339.14,425.78,43.98,20.96,3.45,0.0
20220722:1411,328.01,411.18,37.66,21.02,3.93,0.0
20220722:1511,132.93,178.09,30.41,20.76,3.86,0.0
20220722:1611,90.7,128.08,22.78,20.77,3.45,0.0
20220722:1711,23.96,43.93,15.2,20.16,2.62,0.0
20220722:1811,23.32,43.0,8.03,19.66,2.21,0.0
20220722:1911,0.0,0.83,1.6,19.24,1.72,0.0
20220722:2011,0.0,0.0,0.0,18.79,1.72,0.0
20220722:2111,0.0,0.0,0.0,18.31,1.72,0.0
20220722:2211,0.0,0.0,0.0,17.94,1.93,0.0
20220722:2311,0.0,0.0,0.0,17.65,1.66,0.0
20220723:0011,0.0,0.0,0.0,17.47,1.59,0.0
20220723:0111,0.0,0.0,0.0,17.18,1.86,0.0
20220723:0211,0.0,0.0,0.0,16.71,1.93,0.0
20220723:0311,0.0,3.31,5.0,16.18,2.28,0.0
20220723:0411,11.27,25.63,11.9,15.74,2.62,0.0
20220723:0511,14.67,30.48,19.35,15.36,2.9,0.0
20220723:0611,82.3,114.76,27.0,15.38,2.97,0.0
20220723:0711,141.59,184.13,34.47,15.32,3.24,0.0
20220723:0811,178.36,227.78,41.26,16.02,3.03,0.0
20220723:0911,131.49,173.93,46.73,17.01,2.55,0.0
20220723:1011,149.95,196.34,50.11,17.68,2.48,0.0
20220723:1111,132.99,176.62,50.74,17.77,1.79,0.0
20220723:1211,97.77,134.48,48.47,17.74,2.41,0.0
20220723:1311,84.27,118.34,43.8,17.79,2.55,0.0
20220723:1411,61.88,91.45,37.49,18.07,2.34,0.0
20220723:1511,118.49,159.41,30.25,18.06,2.21,0.0
20220723:1611,35.22,58.27,22.62,18.08,2.21,0.0
20220723:1711,6.75,18.83,15.04,17.73,1.79,0.0
20220723:1811,0.66,7.44,7.86,17.18,1.24,0.0
20220723:1911,0.0,0.83,1.42,15.74,2.28,0.0
20220723:2011,0.0,0.0,0.0,15.69,2.21,0.0
20220723:2111,0.0,0.0,0.0,15.62,2.0,0.0
20220723:2211,0.0,0.0,0.0,15.56,2.0,0.0
20220723:2311,0.0,0.0,0.0,15.48,2.14,0.0
20220724:0011,0.0,0.0,0.0,15.19,2.34,0.0
20220724:0111,0.0,0.0,0.0,15.09,2.48,0.0
20220724:0211,0.0,0.0,0.0,14.95,2.48,0.0
20220724:0311,0.0,3.31,4.81,14.9,2.41,0.0
20220724:0411,2.22,10.75,11.72,15.06,2.34,0.0
20220724:0511,67.99,98.32,19.17,15.47,2.28,0.0
20220724:0611,294.26,378.07,26.83,16.1,2.28,0.0
20220724:0711,438.95,547.11,34.29,17.6,2.0,0.0
20220724:0811,525.8,662.11,41.07,18.8,1.86,0.0
20220724:0911,564.99,717.94,46.53,20.09,2.14,0.0
20220724:1011,611.46,786.98,49.9,21.03,2.07,0.0
20220724:1111,708.37,940.94,50.53,21.82,1.38,0.0
20220724:1211,679.5,900.13,48.28,22.0,1.24,0.0
20220724:1311,521.09,668.85,43.61,22.41,1.86,0.0
20220724:1411,438.79,558.17,37.31,22.65,2.28,0.0
20220724:1511,235.79,306.05,30.08,22.81,2.62,0.0
20220724:1611,164.2,230.85,22.45,22.3,3.1,0.0
20220724:1711,35.27,59.17,14.87,21.83,3.38,0.0
20220724:1811,0.97,8.27,7.68,20.72,3.38,0.0
20220724:1911,0.0,0.0,0.0,19.03,3.52,0.0
20220724:2011,0.0,0.0,0.0,18.15,2.62,0.0
20220724:2111,0.0,0.0,0.0,17.35,2.14,0.0
20220724:2211,0.0,0.0,0.0,16.74,2.07,0.0
20220724:2311,0.0,0.0,0.0,16.46,2.0,0.0
20220725:0011,0.0,0.0,0.0,16.32,2.14,0.0
20220725:0111,0.0,0.0,0.0,16.38,2.14,0.0
20220725:0211,0.0,0.0,0.0,16.42,2.21,0.0
20220725:0311,0.0,3.31,4.62,16.44,2.28,0.0
20220725:0411,16.39,33.07,11.54,16.8,2.34,0.0
20220725:0511,27.02,47.52,18.99,17.45,2.69,0.0
20220725:0611,246.54,317.62,26.65,18.48,3.66,0.0
20220725:0711,334.09,414.9,34.1,19.12,4.21,0.0
20220725:0811,257.64,324.07,40.88,19.28,3.93,0.0
20220725:0911,221.6,282.26,46.33,19.94,4.41,0.0
20220725:1011,102.36,140.75,49.69,19.8,4.48,0.0
20220725:1111,0.0,0.0,0.0,19.52,4.48,0.0
20220725:1211,320.87,398.84,48.07,19.41,4.9,0.0
20220725:1311,89.24,124.62,43.42,19.21,5.59,0.0
20220725:1411,36.0,59.17,37.13,18.14,5.86,0.0
20220725:1511,128.79,170.63,29.9,18.0,5.72,0.0
20220725:1611,98.3,135.76,22.28,18.25,5.79,0.0
20220725:1711,23.57,43.03,14.69,18.26,5.72,0.0
20220725:1811,21.05,39.69,7.5,18.49,6.0,0.0
20220725:1911,0.0,0.0,0.0,18.84,4.97,0.0
20220725:2011,0.0,0.0,0.0,18.7,4.69,0.0
20220725:2111,0.0,0.0,0.0,18.43,4.48,0.0
20220725:2211,0.0,0.0,0.0,18.1,4.21,0.0
20220725:2311,0.0,0.0,0.0,17.94,4.14,0.0
20220726:0011,0.0,0.0,0.0,17.61,4.28,0.0
20220726:0111,0.0,0.0,0.0,17.17,4.62,0.0
20220726:0211,0.0,0.0,0.0,17.29,4.69,0.0
20220726:0311,0.0,3.31,4.43,17.4,4.28,0.0
20220726:0411,3.94,14.06,11.35,17.32,4.41,0.0
20220726:0511,8.47,21.52,18.81,17.32,4.07,0.0
20220726:0611,18.98,36.76,26.46,17.65,3.72,0.0
20220726:0711,228.3,286.96,33.92,17.66,4.34,0.0
20220726:0811,306.34,379.62,40.68,17.84,3.79,0.0
20220726:0911,572.82,712.44,46.12,18.63,3.52,0.0
20220726:1011,741.63,943.7,49.48,19.95,3.66,0.0
20220726:1111,450.72,562.0,50.11,20.54,4.0,0.0
20220726:1211,73.66,106.69,47.86,20.8,4.76,0.0
20220726:1311,456.99,565.27,43.22,20.64,5.17,0.0
20220726:1411,176.83,229.07,36.94,20.49,5.79,0.0
20220726:1511,147.03,193.93,29.72,20.23,5.72,0.0
20220726:1611,152.0,208.83,22.1,20.07,5.59,0.0
20220726:1711,33.77,69.27,14.51,19.41,5.1,0.0
20220726:1811,19.22,37.21,7.31,18.64,5.17,0.0
20220726:1911,0.0,0.0,0.0,17.11,4.76,0.0
20220726:2011,0.0,0.0,0.0,16.3,4.41,0.0
20220726:2111,0.0,0.0,0.0,15.95,4.41,0.0
20220726:2211,0.0,0.0,0.0,15.83,4.41,0.0
20220726:2311,0.0,0.0,0.0,15.82,4.41,0.0
20220727:0011,0.0,0.0,0.0,15.52,4.55,0.0
20220727:0111,0.0,0.0,0.0,15.12,4.76,0.0
20220727:0211,0.0,0.0,0.0,14.7,4.76,0.0
20220727:0311,0.0,2.48,4.23,14.43,4.48,0.0
20220727:0411,1.81,9.92,11.16,14.54,3.79,0.0
20220727:0511,19.26,36.76,18.62,14.94,3.66,0.0
20220727:0611,98.11,133.74,26.28,15.95,3.38,0.0
20220727:0711,167.32,215.18,33.73,16.43,2.97,0.0
20220727:0811,221.77,280.04,40.48,16.92,2.48,0.0
20220727:0911,245.16,309.71,45.91,17.96,2.28,0.0
20220727:1011,702.97,904.97,49.26,18.58,2.0,0.0
20220727:1111,205.89,264.55,49.88,18.91,2.0,0.0
20220727:1211,186.98,241.68,47.65,18.95,2.28,0.0
20220727:1311,147.26,193.25,43.02,18.15,3.03,0.0
20220727:1411,61.34,90.55,36.75,17.69,3.38,0.0
20220727:1511,68.7,99.51,29.53,17.7,3.03,0.0
20220727:1611,73.73,105.64,21.91,17.49,2.62,0.0
20220727:1711,45.2,70.86,14.32,17.32,2.41,0.0
20220727:1811,5.39,16.54,7.12,16.87,2.14,0.0
20220727:1911,0.0,0.0,0.0,15.82,1.86,0.0
20220727:2011,0.0,0.0,0.0,15.55,1.31,0.0
20220727:2111,0.0,0.0,0.0,15.53,1.17,0.0
20220727:2211,0.0,0.0,0.0,15.52,1.72,0.0
20220727:2311,0.0,0.0,0.0,15.26,2.28,0.0
20220728:0011,0.0,0.0,0.0,15.0,2.41,0.0
20220728:0111,0.0,0.0,0.0,14.77,2.48,0.0
20220728:0211,0.0,0.0,0.0,14.38,2.83,0.0
20220728:0311,0.0,2.48,4.03,13.87,3.1,0.0
20220728:0411,2.24,10.75,10.96,13.59,3.31,0.0
20220728:0511,102.76,171.53,18.43,13.54,3.66,0.0
20220728:0611,300.58,380.26,26.09,13.9,3.59,0.0
20220728:0711,475.52,576.73,33.53,14.29,3.59,0.0
20220728:0811,485.04,589.87,40.28,15.35,3.66,0.0
20220728:0911,556.72,684.35,45.69,16.25,3.45,0.0
20220728:1011,497.72,614.63,49.03,16.89,3.03,0.0
20220728:1111,650.49,818.06,49.66,17.84,2.97,0.0
20220728:1211,741.14,949.86,47.43,18.73,2.62,0.0
20220728:1311,625.16,796.68,42.81,19.45,2.07,0.0
20220728:1411,469.57,595.9,36.55,19.64,1.24,0.0
20220728:1511,324.5,413.82,29.33,19.3,1.52,0.0
20220728:1611,170.64,237.9,21.72,18.03,2.9,0.0
20220728:1711,45.69,79.64,14.12,16.76,3.24,0.0
20220728:1811,17.67,34.73,6.92,15.86,2.9,0.0
20220728:1911,0.0,0.0,0.0,15.85,1.86,0.0
20220728:2011,0.0,0.0,0.0,15.29,2.0,0.0
20220728:2111,0.0,0.0,0.0,14.99,1.79,0.0
20220728:2211,0.0,0.0,0.0,14.87,1.59,0.0
20220728:2311,0.0,0.0,0.0,14.81,1.45,0.0
20220729:0011,0.0,0.0,0.0,14.57,1.31,0.0
20220729:0111,0.0,0.0,0.0,13.87,1.1,0.0
20220729:0211,0.0,0.0,0.0,13.52,1.17,0.0
20220729:0311,4.52,14.88,3.83,13.3,1.24,0.0
20220729:0411,32.32,53.75,10.77,14.06,1.24,0.0
20220729:0511,101.69,167.24,18.24,15.59,1.1,0.0
20220729:0611,292.43,379.16,25.89,16.31,1.24,0.0
20220729:0711,476.22,600.47,33.33,17.1,0.97,0.0
20220729:0811,611.08,788.47,40.07,17.94,0.69,0.0
20220729:0911,545.04,702.07,45.48,18.72,0.62,0.0
20220729:1011,468.22,599.88,48.8,19.3,0.62,0.0
20220729:1111,395.05,503.26,49.42,19.56,0.76,0.0
20220729:1211,410.89,519.83,47.2,19.72,1.45,0.0
20220729:1311,449.81,564.6,42.59,19.47,2.14,0.0
20220729:1411,421.21,525.24,36.34,19.4,2.76,0.0
20220729:1511,367.16,463.7,29.13,19.32,3.1,0.0
20220729:1611,176.51,252.31,21.52,19.05,3.03,0.0
20220729:1711,31.11,65.03,13.92,18.68,2.69,0.0
20220729:1811,16.3,33.07,6.71,17.85,2.48,0.0
20220729:1911,0.0,0.0,0.0,17.17,2.83,0.0
20220729:2011,0.0,0.0,0.0,16.58,2.9,0.0
20220729:2111,0.0,0.0,0.0,16.28,2.97,0.0
20220729:2211,0.0,0.0,0.0,15.9,2.76,0.0
20220729:2311,0.0,0.0,0.0,15.63,2.55,0.0
20220730:0011,0.0,0.0,0.0,15.37,2.69,0.0
20220730:0111,0.0,0.0,0.0,15.05,2.62,0.0
20220730:0211,0.0,0.0,0.0,14.95,2.41,0.0
20220730:0311,0.0,2.48,3.62,14.91,2.28,0.0
20220730:0411,1.8,9.92,10.56,15.1,1.93,0.0
20220730:0511,64.86,94.77,18.04,15.75,1.66,0.0
20220730:0611,164.2,214.41,25.69,16.47,1.31,0.0
20220730:0711,338.44,428.83,33.13,18.24,0.48,0.0
20220730:0811,545.82,699.64,39.86,19.45,0.97,0.0
20220730:0911,686.67,898.17,45.25,20.29,1.38,0.0
20220730:1011,399.38,506.44,48.57,20.61,1.66,0.0
20220730:1111,57.32,86.96,49.19,20.99,1.86,0.0
20220730:1211,159.02,210.36,46.97,20.94,2.0,0.0
20220730:1311,317.75,403.83,42.37,21.67,2.14,0.0
20220730:1411,278.09,354.51,36.13,21.57,2.21,0.0
20220730:1511,115.18,157.79,28.93,21.63,2.55,0.0
20220730:1611,86.73,123.81,21.32,21.41,2.62,0.0
20220730:1711,55.26,87.41,13.72,20.57,3.03,0.0
20220730:1811,16.74,33.9,6.5,19.58,3.38,0.0
20220730:1911,0.0,0.0,0.0,18.41,4.07,0.0
20220730:2011,0.0,0.0,0.0,17.83,3.86,0.0
20220730:2111,0.0,0.0,0.0,17.39,3.72,0.0
20220730:2211,0.0,0.0,0.0,17.01,3.59,0.0
20220730:2311,0.0,0.0,0.0,16.61,3.45,0.0
20220731:0011,0.0,0.0,0.0,16.21,3.24,0.0
20220731:0111,0.0,0.0,0.0,15.87,3.1,0.0
20220731:0211,0.0,0.0,0.0,15.6,2.9,0.0
20220731:0311,0.67,7.44,3.41,15.36,2.69,0.0
20220731:0411,32.79,54.57,10.36,15.41,2.48,0.0
20220731:0511,99.33,162.78,17.84,16.36,2.34,0.0
20220731:0611,283.9,367.73,25.49,17.77,2.62,0.0
20220731:0711,472.61,590.4,32.93,19.01,2.69,0.0
20220731:0811,616.87,776.33,39.64,19.98,3.1,0.0
20220731:0911,715.97,915.22,45.02,21.05,3.38,0.0
20220731:1011,784.35,1011.34,48.33,21.61,3.79,0.0
20220731:1111,793.58,1019.62,48.94,22.04,4.41,0.0
20220731:1211,772.14,983.77,46.73,21.99,4.83,0.0
20220731:1311,674.62,846.21,42.14,21.51,4.97,0.0
20220731:1411,538.33,669.92,35.91,21.28,4.69,0.0
20220731:1511,358.27,453.8,28.72,21.09,4.28,0.0
20220731:1611,171.57,247.4,21.11,20.67,3.79,0.0
20220731:1711,30.84,63.38,13.51,19.73,3.45,0.0
20220731:1811,3.01,12.4,6.29,18.66,3.31,0.0
20220731:1911,0.0,0.0,0.0,17.63,3.38,0.0
20220731:2011,0.0,0.0,0.0,16.91,3.1,0.0
20220731:2111,0.0,0.0,0.0,16.47,2.9,0.0
20220731:2211,0.0,0.0,0.0,16.17,2.69,0.0
20220731:2311,0.0,0.0,0.0,15.93,2.62,0.0
20220801:0011,0.0,0.0,0.0,15.74,2.41,0.0
20220801:0111,0.0,0.0,0.0,15.7,2.41,0.0
20220801:0211,0.0,0.0,0.0,15.65,2.62,0.0
20220801:0311,0.0,1.65,3.19,15.64,2.62,0.0
20220801:0411,14.11,29.77,10.15,16.06,2.41,0.0
20220801:0511,9.06,22.41,17.64,16.97,2.14,0.0
20220801:0611,81.28,114.86,25.29,17.86,2.41,0.0
20220801:0711,210.14,267.92,32.72,18.39,2.55,0.0
20220801:0811,537.81,672.45,39.43,19.2,2.76,0.0
20220801:0911,632.7,800.29,44.79,19.99,3.03,0.0
20220801:1011,704.32,898.31,48.09,20.49,3.38,0.0
20220801:1111,593.06,749.89,48.7,20.95,3.38,0.0
20220801:1211,493.28,620.54,46.49,21.13,3.17,0.0
20220801:1311,625.93,792.35,41.91,21.06,3.24,0.0
20220801:1411,410.11,512.25,35.69,20.69,3.38,0.0
20220801:1511,316.08,400.79,28.5,20.19,3.31,0.0
20220801:1611,167.89,240.96,20.89,19.72,3.1,0.0
20220801:1711,36.14,67.91,13.29,19.33,2.83,0.0
20220801:1811,8.91,22.32,6.06,18.65,2.48,0.0
20220801:1911,0.0,0.0,0.0,17.97,2.48,0.0
20220801:2011,0.0,0.0,0.0,17.44,2.14,0.0
20220801:2111,0.0,0.0,0.0,17.09,2.0,0.0
20220801:2211,0.0,0.0,0.0,16.95,1.72,0.0
20220801:2311,0.0,0.0,0.0,16.74,1.59,0.0
20220802:0011,0.0,0.0,0.0,16.45,1.72,0.0
20220802:0111,0.0,0.0,0.0,16.01,2.07,0.0
20220802:0211,0.0,0.0,0.0,15.49,2.21,0.0
20220802:0311,0.0,3.31,2.98,14.91,2.48,0.0
20220802:0411,30.26,51.26,9.94,15.02,2.62,0.0
20220802:0511,15.95,32.27,17.43,15.41,3.17,0.0
20220802:0611,79.81,112.07,25.09,15.89,2.83,0.0
20220802:0711,257.61,321.7,32.51,16.14,2.14,0.0
20220802:0811,585.77,740.09,39.2,17.34,1.45,0.0
20220802:0911,622.58,813.52,44.56,18.58,0.48,0.0
20220802:1011,723.71,971.59,47.84,19.62,0.55,0.0
20220802:1111,492.84,626.69,48.44,20.33,1.72,0.0
20220802:1211,209.71,270.18,46.24,20.43,2.69,0.0
20220802:1311,598.38,748.15,41.67,19.57,3.52,0.0
20220802:1411,348.08,431.07,35.46,18.91,3.93,0.0
20220802:1511,329.83,413.83,28.28,18.87,4.21,0.0
20220802:1611,168.32,240.49,20.67,18.66,4.41,0.0
20220802:1711,53.01,82.78,13.07,18.34,4.41,0.0
20220802:1811,14.56,30.59,5.84,17.75,4.21,0.0
20220802:1911,0.0,0.0,0.0,17.06,4.21,0.0
20220802:2011,0.0,0.0,0.0,16.94,4.0,0.0
20220802:2111,0.0,0.0,0.0,16.96,4.21,0.0
20220802:2211,0.0,0.0,0.0,17.16,4.07,0.0
20220802:2311,0.0,0.0,0.0,17.24,4.28,0.0
20220803:0011,0.0,0.0,0.0,16.78,4.48,0.0
20220803:0111,0.0,0.0,0.0,16.2,4.0,0.0
20220803:0211,0.0,0.0,0.0,15.83,3.93,0.0
20220803:0311,0.0,1.65,2.76,15.81,4.14,0.0
20220803:0411,18.87,36.38,9.73,16.08,4.41,0.0
20220803:0511,45.64,70.83,17.22,16.31,4.14,0.0
20220803:0611,110.59,148.98,24.88,16.8,4.41,0.0
20220803:0711,236.49,297.05,32.29,17.96,4.07,0.0
20220803:0811,460.82,567.87,38.98,19.04,4.14,0.0
20220803:0911,648.7,809.16,44.32,20.11,4.62,0.0
20220803:1011,382.71,475.45,47.59,20.95,5.38,0.0
20220803:1111,425.77,529.04,48.18,21.47,5.52,0.0
20220803:1211,750.12,944.72,45.99,21.62,5.52,0.0
20220803:1311,540.21,671.11,41.43,21.71,5.38,0.0
20220803:1411,450.17,558.66,35.22,21.73,5.31,0.0
20220803:1511,350.6,444.41,28.05,21.76,5.1,0.0
20220803:1611,68.57,101.07,20.44,21.65,4.76,0.0
20220803:1711,32.53,55.58,12.84,21.51,4.69,0.0
20220803:1811,13.17,28.94,5.6,21.02,4.9,0.0
20220803:1911,0.0,0.0,0.0,20.2,5.45,0.0
20220803:2011,0.0,0.0,0.0,20.27,5.17,0.0
20220803:2111,0.0,0.0,0.0,20.29,4.69,0.0
20220803:2211,0.0,0.0,0.0,19.99,4.34,0.0
20220803:2311,0.0,0.0,0.0,19.8,4.21,0.0
20220804:0011,0.0,0.0,0.0,19.67,4.28,0.0
20220804:0111,0.0,0.0,0.0,19.43,4.07,0.0
20220804:0211,0.0,0.0,0.0,19.13,3.72,0.0
20220804:0311,0.0,1.65,2.53,18.53,3.38,0.0
20220804:0411,29.75,51.26,9.52,18.37,2.97,0.0
20220804:0511,93.55,142.64,17.01,19.01,2.76,0.0
20220804:0611,193.23,253.14,24.67,19.91,3.24,0.0
20220804:0711,401.01,501.55,32.07,21.1,3.79,0.0
20220804:0811,539.45,676.57,38.75,21.75,3.79,0.0
20220804:0911,665.43,845.75,44.07,22.71,4.14,0.0
20220804:1011,749.65,963.51,47.33,23.37,4.41,0.0
20220804:1111,762.74,984.31,47.92,24.04,4.55,0.0
20220804:1211,617.14,788.0,45.73,24.5,4.34,0.0
20220804:1311,620.76,792.41,41.18,24.62,4.14,0.0
20220804:1411,512.58,650.02,34.98,24.52,4.0,0.0
20220804:1511,333.56,429.33,27.81,23.9,4.0,0.0
20220804:1611,157.78,232.38,20.21,23.01,3.66,0.0
20220804:1711,28.36,50.21,12.6,22.33,3.31,0.0
20220804:1811,11.45,26.46,5.36,21.67,3.38,0.0
20220804:1911,0.0,0.0,0.0,20.8,3.72,0.0
20220804:2011,0.0,0.0,0.0,20.86,4.48,0.0
20220804:2111,0.0,0.0,0.0,20.85,5.03,0.0
20220804:2211,0.0,0.0,0.0,20.9,5.31,0.0
20220804:2311,0.0,0.0,0.0,20.87,5.03,0.0
20220805:0011,0.0,0.0,0.0,20.62,4.14,0.0
20220805:0111,0.0,0.0,0.0,20.29,3.86,0.0
20220805:0211,0.0,0.0,0.0,20.04,3.79,0.0
20220805:0311,0.0,0.83,2.31,19.62,3.86,0.0
20220805:0411,13.85,29.77,9.3,19.51,3.52,0.0
20220805:0511,14.96,31.38,16.8,19.64,3.59,0.0
20220805:0611,243.11,316.21,24.45,19.63,4.07,0.0
20220805:0711,387.19,484.86,31.85,19.86,2.62,0.0
20220805:0811,485.12,609.41,38.52,21.27,2.97,0.0
20220805:0911,581.2,738.59,43.83,22.82,3.45,0.0
20220805:1011,143.1,192.75,47.07,23.66,3.66,0.0
20220805:1111,99.17,138.96,47.65,23.22,4.48,0.0
20220805:1211,38.21,62.76,45.46,21.05,3.86,0.0
20220805:1311,41.27,66.34,40.92,19.79,3.52,0.0
20220805:1411,33.68,56.48,34.74,19.1,3.59,0.0
20220805:1511,16.31,33.17,27.58,18.68,3.59,0.0
20220805:1611,72.36,104.58,19.97,18.46,3.45,0.0
20220805:1711,46.82,74.1,12.36,18.3,4.41,0.0
20220805:1811,1.76,9.92,5.12,18.14,4.0,0.0
20220805:1911,0.0,0.0,0.0,17.77,3.59,0.0
20220805:2011,0.0,0.0,0.0,17.32,3.03,0.0
20220805:2111,0.0,0.0,0.0,17.02,3.17,0.0
20220805:2211,0.0,0.0,0.0,16.92,3.24,0.0
20220805:2311,0.0,0.0,0.0,16.72,3.38,0.0
20220806:0011,0.0,0.0,0.0,16.12,3.66,0.0
20220806:0111,0.0,0.0,0.0,15.25,3.93,0.0
20220806:0211,0.0,0.0,0.0,14.57,4.14,0.0
20220806:0311,0.0,1.65,2.08,14.04,4.14,0.0
20220806:0411,28.53,48.78,9.08,13.93,4.34,0.0
20220806:0511,95.12,153.23,16.58,14.39,4.55,0.0
20220806:0611,153.97,199.28,24.23,15.22,5.1,0.0
20220806:0711,436.9,530.92,31.63,16.88,5.59,0.0
20220806:0811,634.85,774.24,38.28,17.68,5.66,0.0
20220806:0911,694.05,848.07,43.58,17.4,6.14,0.0
20220806:1011,620.9,757.27,46.8,17.55,6.21,0.0
20220806:1111,671.3,825.91,47.38,18.57,6.14,0.0
20220806:1211,521.6,640.44,45.19,18.85,5.31,0.0
20220806:1311,524.47,645.96,40.66,19.02,4.62,0.0
20220806:1411,279.73,348.3,34.49,18.58,4.41,0.0
20220806:1511,355.14,445.26,27.33,18.75,4.34,0.0
20220806:1611,83.8,118.55,19.73,18.0,3.86,0.0
20220806:1711,30.6,57.85,12.12,17.67,3.03,0.0
20220806:1811,10.63,24.81,4.87,17.17,2.55,0.0
20220806:1911,0.0,0.0,0.0,16.08,2.62,0.0
20220806:2011,0.0,0.0,0.0,15.74,2.76,0.0
20220806:2111,0.0,0.0,0.0,15.37,3.1,0.0
20220806:2211,0.0,0.0,0.0,14.88,3.31,0.0
20220806:2311,0.0,0.0,0.0,14.52,3.24,0.0
20220807:0011,0.0,0.0,0.0,14.21,3.03,0.0
20220807:0111,0.0,0.0,0.0,13.91,2.9,0.0
20220807:0211,0.0,0.0,0.0,13.65,2.9,0.0
20220807:0311,0.0,0.83,1.84,13.4,2.83,0.0
20220807:0411,25.99,45.48,8.85,13.52,2.48,0.0
20220807:0511,91.82,152.06,16.36,14.18,2.21,0.0
20220807:0611,274.57,353.15,24.01,15.23,2.0,0.0
20220807:0711,446.68,550.28,31.4,16.42,2.69,0.0
20220807:0811,600.91,747.13,38.04,17.27,2.76,0.0
20220807:0911,637.05,803.02,43.32,18.19,2.55,0.0
20220807:1011,614.66,777.66,46.53,18.86,2.48,0.0
20220807:1111,512.55,640.51,47.1,19.04,2.9,0.0
20220807:1211,326.46,407.59,44.92,19.3,3.31,0.0
20220807:1311,368.61,457.94,40.4,19.36,3.45,0.0
20220807:1411,274.25,343.81,34.23,19.11,3.38,0.0
20220807:1511,252.74,320.81,27.08,18.83,3.17,0.0
20220807:1611,146.23,205.82,19.48,18.43,2.9,0.0
20220807:1711,40.59,68.05,11.87,17.95,2.07,0.0
20220807:1811,3.03,12.4,4.62,17.25,1.79,0.0
20220807:1911,0.0,0.0,0.0,16.56,2.41,0.0
20220807:2011,0.0,0.0,0.0,15.88,2.41,0.0
20220807:2111,0.0,0.0,0.0,15.34,2.55,0.0
20220807:2211,0.0,0.0,0.0,14.92,2.76,0.0
20220807:2311,0.0,0.0,0.0,14.64,2.97,0.0
20220808:0011,0.0,0.0,0.0,14.41,2.9,0.0
20220808:0111,0.0,0.0,0.0,14.17,2.76,0.0
20220808:0211,0.0,0.0,0.0,13.9,2.62,0.0
20220808:0311,0.0,0.83,1.61,13.64,2.55,0.0
20220808:0411,26.61,46.3,8.63,13.65,2.41,0.0
20220808:0511,91.69,150.47,16.14,14.09,2.34,0.0
20220808:0611,276.54,355.42,23.79,15.07,2.14,0.0
20220808:0711,462.58,576.31,31.17,16.52,1.59,0.0
20220808:0811,594.25,751.86,37.8,17.68,1.52,0.0
20220808:0911,465.66,586.75,43.06,18.68,1.45,0.0
20220808:1011,549.99,706.65,46.26,19.39,1.03,0.0
20220808:1111,347.03,441.53,46.82,19.95,0.9,0.0
20220808:1211,216.03,279.68,44.64,20.32,0.97,0.0
20220808:1311,113.22,155.1,40.13,20.47,1.24,0.0
20220808:1411,115.42,157.36,33.97,20.08,1.45,0.0
20220808:1511,184.43,240.66,26.82,19.81,1.59,0.0
20220808:1611,152.56,221.67,19.23,19.72,1.45,0.0
20220808:1711,27.64,53.0,11.62,18.98,1.31,0.0
20220808:1811,8.41,21.5,4.36,17.96,1.45,0.0
20220808:1911,0.0,0.0,0.0,17.32,1.86,0.0
20220808:2011,0.0,0.0,0.0,16.62,2.0,0.0
20220808:2111,0.0,0.0,0.0,16.11,2.07,0.0
20220808:2211,0.0,0.0,0.0,15.81,2.0,0.0
20220808:2311,0.0,0.0,0.0,15.62,1.93,0.0
20220809:0011,0.0,0.0,0.0,15.44,1.79,0.0
20220809:0111,0.0,0.0,0.0,15.22,1.79,0.0
20220809:0211,0.0,0.0,0.0,15.05,1.72,0.0
20220809:0311,0.0,0.83,1.37,14.73,1.66,0.0
20220809:0411,24.57,43.82,8.4,14.54,1.59,0.0
20220809:0511,89.48,148.93,15.92,15.32,1.17,0.0
20220809:0611,272.94,356.76,23.57,16.95,0.97,0.0
20220809:0711,447.29,572.0,30.94,18.49,0.28,0.0
20220809:0811,557.92,724.63,37.56,19.77,0.41,0.0
20220809:0911,522.79,673.5,42.8,20.42,0.9,0.0
20220809:1011,350.59,446.39,45.98,20.96,1.31,0.0
20220809:1111,207.77,269.97,46.54,21.35,1.72,0.0
20220809:1211,391.66,495.35,44.35,21.31,2.21,0.0
20220809:1311,321.71,405.82,39.85,21.21,2.83,0.0
20220809:1411,440.79,551.93,33.7,21.02,3.17,0.0
20220809:1511,333.0,424.14,26.56,20.67,3.17,0.0
20220809:1611,157.25,232.69,18.97,20.18,2.9,0.0
20220809:1711,42.12,68.8,11.36,19.5,2.9,0.0
20220809:1811,6.83,19.02,4.09,18.62,2.83,0.0
20220809:1911,0.0,0.0,0.0,17.92,2.9,0.0
20220809:2011,0.0,0.0,0.0,17.16,2.97,0.0
20220809:2111,0.0,0.0,0.0,16.72,3.03,0.0
20220809:2211,0.0,0.0,0.0,16.33,2.97,0.0
20220809:2311,0.0,0.0,0.0,16.09,2.83,0.0
20220810:0011,0.0,0.0,0.0,15.93,2.83,0.0
